"tsearch","eentry"
"ชิงชัย","compete"
"ชิงดีชิงเด่น","compete for a better position"
"ชิงทรัพย์","rob"
"ชิง","snatch"
"ช้ำ","bruise"
"ช้ำใจ","be hurt"
"ช้ำชอก","bruise"
"ช่ำชอง","be experienced"
"ชำนัญ","know"
"ชำนิ","be experienced"
"ชำเรา","rape"
"ชำรุดทรุดโทรม","be worn out"
"ชำระ","pay"
"ชำระ","clean"
"ชำระ","settle"
"ชำระ","try a case"
"ชำระ","revise"
"ชำระความ","try a case"
"ชำระใจ","cleanse"
"ชำระร่างกาย","wash"
"ชำระล้าง","clean"
"ชิงไหวชิงพริบ","outsmart"
"ชำนิชำนาญ","be expert in"
"ชิงทุน","compete for a scholarship"
"ชี้ช่อง","advise"
"ชี้ตัว","identify"
"ชี้ทาง","direct the way"
"ชี้นำ","guide"
"ชี้นิ้ว","order"
"ชี้แนะ","suggest"
"ชี้บอก","direct"
"ชี้แจง","explain"
"ชี้ขาด","judge"
"ชิด","be close"
"ชิน","be accustomed to"
"ชิ่น","be finished"
"ชินชา","be apathetic"
"ชินตา","look familiar"
"ชี้ชวน","induce"
"ชินหู","sound familiar"
"ชิม","taste"
"ชิมลาง","have a foretaste of"
"ชี้","point"
"ชี้","indicate"
"ชีวิตักษัย","die"
"ชี้หน้า","point accusing fingers at"
"ชี้ให้เห็น","indicate"
"ชืด","be uninteresting"
"ชื่น","be joyful"
"ชื้น","be damp"
"ชื่นใจ","rejoice"
"ชื้นแฉะ","be damp"
"ชื่นชม","admire"
"ชื่นชมยินดี","be pleased with"
"ชื่นชอบ","be satisfied"
"ชื่นบาน","be cheerful"
"ชื่นมื่น","be cheerful"
"ชุกชุม","abound"
"ชุน","darn"
"ชุบ","dip"
"ชุบ","coat"
"ชุบชีวิต","revive"
"ชุบชีวิต","support"
"ชุบตัว","bathe oneself"
"ชุบตัว","acquire knowledge"
"ชุบมือเปิบ","receive the credit for another's efforts"
"ชุบย้อม","foster"
"ชุบเลี้ยง","bring up"
"ชุ่ม","be soaked"
"ชุม","abound"
"ชุม","assemble"
"ชุ่มใจ","be joyful"
"ชุ่มชื่น","be delighted"
"ชุ่มชื่นใจ","be happy"
"ชุมนุม","congregate"
"ชุลมุน","be in disorder"
"ชู","raise"
"ชู","nourish"
"ชูกลิ่น","emit"
"ชูคอ","be conceited"
"ชูใจ","encourage"
"ชูมือ","raise one's hand"
"ชูรส","enhance the flavor"
"ชูหน้าชูตา","make prominent"
"เช็ค","check"
"เช็ด","wipe"
"เช็ดตัว","rub the body dry"
"เช็ดถู","rub"
"เช็ดน้ำ","pour the water from the boiled rice"
"เช็ดมือ","rub the hands dry"
"เช็ดหน้า","scrub one's face"
"เช่าบ้าน","rent a house"
"เช่า","rent"
"เชยชม","fondle"
"เชย","blow gently"
"เช่าพระ","buy a Buddha image"
"เช็ดหม้อ","pour rice water from the pot"
"เช่าช่วง","sublease"
"เชย","be old-fashioned"
"เชย","touch fondly"
"เชย","drizzle (rain)"
"เชิด","manipulate"
"เชิญ","invite"
"เชิญชวน","invite"
"เชิด","lift"
"เชิด","take away"
"เชิดชู","praise"
"เชิดหนัง","display shadow figures"
"เชิญ","install"
"เชิดหน้า","turn the face upwards"
"เชิดหน้าชูตา","enhance a reputation"
"เชิดหุ่น","perform the puppet"
"เชียบ","be silent"
"เชี่ยวชาญ","be skilled"
"เชื่อ","believe in"
"เชื่อ","believe"
"เชื่อ","buy on credit"
"เชื่อง","be tame"
"เชื่องช้า","be tardy"
"เชื่อใจ","trust"
"เชื้อเชิญ","invite"
"เชือด","cut"
"เชื่อถือ","trust"
"เชือนแช","stray"
"ซ่องเสพ","hang around"
"ซักฟอก","wash clothes"
"ซมซาน","be ignominious"
"ซอกซัง","hide"
"ซ่อมแปลง","modify"
"ซ้น","be dislocated"
"ซ้อมค้าง","bluff somebody into telling the truth"
"ซัดข้าวสาร","throw rice"
"ซอมซ่อ","be shabby"
"ซอกซอน","get into"
"ซวน","lean"
"ซ้อง","sing in unison"
"ซัด","put the blame on each other"
"ซักรีด","launder"
"ซักล้าง","wash"
"ซ้อนท้าย","sit behind the bicycle rider"
"ซ้อมรบ","maneuver"
"ซ้อมมือ","exercise"
"ซอกแซก","be inquisitive"
"ซ่องสุม","gang up"
"ซบ","nestle"
"ซ่อมแซม","repair"
"ซ่อม","repair"
"ซ่อนเร้น","conceal"
"ซ่อนตัว","hide one's self"
"ซ่อน","hide"
"ซบเซา","dull"
"ซน","be mischievous"
"ซอย","slice"
"ซัด","swash"
"ซักไซ้","interrogate"
"ซักค้าน","cross-examine"
"ซักฟอก","question"
"ซักถาม","question"
"ซัก","question"
"ซัก","wash"
"ซอยเท้า","tap with the feet"
"ซ้อม","rehearse"
"ซ้อม","beat up"
"ซ้อนทับ","be superimposed"
"ซ้อน","overlap"
"ซ้อน","intervene"
"ซ้อนกล","outwit (somebody with his own trick)"
"ซ่อนเงื่อน","be secretive"
"ซ่อนรูป","cover up one's figure"
"ซ่องเสพ","make love"
"ซอยผม","cut the hair"
"ซอน","worm"
"ซวย","be unlucky"
"ซวนเซ","stagger"
"ซวดเซ","totter"
"ซด","sip"
"ซ้อนซับ","complicate"
"ซัดเซ","wander"
"ซัดยา","spread medicines (in the crucible)"
"ซัดน้ำ","sprinkle water"
"ซัดทอด","implicate"
"ซักแห้ง","dry-clean"
"ซักซ้อม","exercise"
"ซ้อมใหญ่","dress rehearsal"
"ซ้อมพยาน","prime a witness"
"ซ้อมซัก","rehearse"
"ซัด","throw"
"ซอกแซก","edge one's way through"
"ซด","drink"
"ซวดเซ","be unsteady"
"ซับ","absorb"
"ซับซ้อน","complicate"
"ซับซาบ","realize"
"ซา","moderate"
"ซ่า","show off"
"ซ่า","tingle"
"ซาน","crawl"
"ซ่าน","diffuse"
"ซ่านเซ็น","scatter"
"ซาบซ่าน","refresh"
"ซาบซึ้ง","appreciate"
"ซ้ายหัน","turn left"
"ซาว","wash (rice)"
"ซาวเสียง","sound out"
"ซ้ำซ้อน","duplicate"
"ซ้ำเติม","aggravate"
"ซ้ำรอย","repeat"
"ซิกซี้","chuckle"
"ซิบ","drip"
"ซีด","pale"
"ซีดเซียว","be haggard"
"ซึ้ง","impress"
"ซึม","dull"
"ซึม","seep"
"ซึมซับ","absorb"
"ซึมซาบ","touch"
"ซึมเซา","drowsy"
"ซึมทราบ","know well"
"ซึมเศร้า","sadden"
"ซื้อ","buy"
"ซื้อของ","shop for"
"ซื้อขาย","trade"
"ซื่อตรง","be honest"
"ซื้อรำคาญ","spend some money to turn somebody away"
"โซ","be thin"
"โซ","be hungry"
"โซก","soak"
"โซซัดโซเซ","roam about destitutely"
"โซเซ","stagger"
"เซ็นชื่อ","sign"
"เซ็กซี่","sexy"
"ซื่อสัตย์","be honest"
"ซื่อสัตย์สุจริต","be honest"
"ซื้อหา","buy"
"เซ็น","sign"
"เซ่น","make offerings"
"เซอะ","be very stupid"
"เซา","calm down"
"โซ","be destitute"
"กลั่นแกล้ง","defame"
"กลั้นใจ","hold one's breath"
"กลั่นตัว","condense"
"กลั้นลมหายใจ","hold one's breath"
"กลับ","return"
"กลับ","reverse"
"กลับ","become to"
"กลับกลาย","become"
"กลับกัน","reverse"
"กลับคำ","break one's word"
"กลับคืน","go back"
"กลับคืน","put back"
"กลับใจ","repent"
"กลับชาติมาเกิด","reincarnate"
"โซรม","gather together in a crowd"
"โซรมโรม","engage in a hand-to-hand combat"
"โซรมศัสตราวุธ","bombard"
"กลับตัว","reform"
"กลับตาลปัตร","reverse"
"ไซ้","preen"
"กลับเป็น","become"
"กลับรถ","back a car"
"กลั้ว","gargle"
"กลั้ว","associate with"
"กลั้วคอ","gargle one's throat"
"ญาติดี","reconciled after estrangement"
"ญาติดีกัน","reconcile"
"กลัวใจ","admire from the bottom of one's heart"
"กลัวผี","afraid of ghost"
"ณรงค์","fight"
"ด้น","force"
"ด้น","run a seam"
"ด้นดั้น","penetrate"
"ดนโด่","jerk up"
"ด้นถอยหลัง","backstitch"
"ดม","smell"
"ดมกลิ่น","smell"
"ซุกซน","be naughty"
"เซ่อ","be stupid"
"ซุก","hide"
"แซว","tease"
"โซม","drench"
"โซรมโรม","engage in a hand-to-hand combat"
"ณรงค์","fight"
"ด้น","run a seam"
"ดม","smell"
"ดมกลิ่น","smell"
"กระตุกกระติก","shake"
"กระตุ้นเตือน","stimulate"
"กระโตกกระตาก","spill the beans"
"กระพริบตา","blink"
"กรุ้มกริ่ม","be pleased"
"กระอิดกระเอื้อน","be reluctant"
"ฟ้าผ่า","strike"
"กระถด","move back or out a little"
"กระตุ้น","urge"
"กระตุ้น","stimulate"
"กะเทาะ","peel off"
"กระตุก","pull violently"
"กระตุก","have a spasm"
"กระเทือนใจ","be affected"
"กระเทือน","shake"
"กระแทกกระทั้น","bang things"
"กะเทาะ","shell"
"กระทบกระเทียบ","satirize"
"กระทุ้ง","poke"
"กระทำชำเรา","rape"
"กระทบกระเทือน","affect"
"กระแทกกระทั้น","bump"
"กระดกกระดนโด่","has an ill manner"
"กระซิก","snuggle up"
"กระชับ","fit closely"
"กระชับ","strengthen"
"กระเจิดกระเจิง","disperse"
"กระด้าง","be tough"
"ก่ง","bend"
"กระดืบ","crawl"
"กระโดด","skip"
"กระแดะ","be affected"
"กระเดื่อง","be well-known"
"กระเบียดกระเสียร","economize"
"กระเดือก","swallow"
"กระดากกระเดื่อง","feel embarrassed"
"กระดุกกระดิก","move"
"กระดากใจ","be ashamed"
"กระดิกกระเดี้ย","move"
"กระดิก","beckon"
"กระด้างกระเดื่อง","disobey"
"กระโดด","plunge in/into"
"กราย","pass closely"
"กรุ่น","smolder"
"กรีดร้อง","scream"
"กรีดนิ้ว","gesture with the fingers"
"กราย","swagger"
"กราบไหว้","worship"
"กราก","rush"
"กระอึกกระอัก","hesitate"
"กระอิดกระเอื้อน","be reluctant to speak"
"กระอักกระอ่วน","hesitate"
"พับเพียบ","sit squat on the floor in a polite attitude"
"ฟูฟ่อง","fluff out/up"
"ฟุ่มเฟือย","be extravagant with money"
"ฟุ้งเฟ้อ","be extravagant with money"
"ฟื้น","recover"
"กรุ่น","smoulder"
"พาย","row"
"กระเหี้ยนกระหือรือ","be obsessed with ambition"
"พับผ้า","fold"
"กลมกลืน","be harmonious"
"กระเป๋าแห้ง","be penniless"
"กระปั้วกระเปี้ย","be weak"
"กระฟัดกระเฟียด","move angrily"
"กระเหม็ดกระแหม่","economize"
"กระหืดกระหอบ","feel breathless"
"กระหึม","reverberate"
"กระหยิ่ม","be happy"
"กระหนาบ","make pincer movement"
"กระมิดกระเมี้ยน","be shy"
"กระเพื่อม","ripple"
"กระพือข่าว","spread rumours"
"กระพือ","spread"
"กระผลีกระผลาม","be hasty"
"กระโหย","be weary"
"กก","cuddle"
"กก","brood"
"กก","stay with"
"ก๊ง","drink wine"
"กด","press"
"กดกริ่ง","ring a bell"
"กดขี่","oppress"
"กดคอ","compel"
"กดดัน","force"
"กดน้ำ","duck"
"กดราคา","lower the price"
"กดหัว","intimidate"
"ก็ดี","may as well"
"กตัญญู","be grateful"
"ก่น","be absorbed in"
"ก่น","reproach"
"ก่น","dig out"
"ก้นกระดก","get cocky"
"ก่นสร้าง","clear"
"กบ","overfill"
"กบฏ","rebel"
"กบดาน","hide"
"ก้ม","bend down"
"ก้มหน้า","low one's head"
"ก้มหน้า","persevere"
"ก้มหน้าก้มตา","concentrate"
"ก้มหัว","bow the head"
"ก้มหัว","yield (to)"
"กรน","snore"
"กรรเชียง","row"
"กรรโชก","extort"
"กรวด","pour"
"กรวดน้ำ","pour water"
"กรอ","spin (the yarn)"
"กรอ","grind"
"กรอก","fill in"
"กรอก","pour"
"กรอง","braid"
"กรอง","string (garland-flower)"
"กรอง","percolate"
"กร่อน","erode"
"กรอม","cover"
"กร่อย","be unpleasant"
"กร่อย","dull"
"กระเง้ากระงอด","be peevish"
"กระจัด","disperse"
"กระจัดกระจาย","scatter"
"กระจัดพลัดพราย","scatter"
"กระจ่าง","brighten"
"กระจาย","disperse"
"กระจาย","spread"
"กระจาย","disseminate"
"กระจายเสียง","broadcast"
"กระจายอำนาจ","decentralize"
"กระจุย","collapse"
"กระจู๋กระจี๋","coo"
"กระเจิดกระเจิง","stray"
"กระโจน","leap"
"กระโจมกระจาม","dash against"
"กระโจมอก","pull up one's lower garment so as to cover the breasts"
"กระฉอก","spill"
"กระชั้น","close"
"กระชั้นชิด","close"
"กระชาก","expose"
"กระชาก","jerk"
"กระชุ่มกระชวย","be hale and hearty"
"กระโชก","gust"
"กระโชก","shout"
"กระโชกกระชั้น","be abrupt and forcefully emphatic"
"กระโชกกระชาก","utter in a loud voice"
"กระซิกกระซี้","banter"
"กระซิบ","whisper"
"กระซุบกระซิบ","gossip"
"กระเซ็น","spatter"
"กระเซอ","be stupid"
"กระเซ้า","tease"
"กระเซ้ากระซี้","importune"
"กระแซะ","snuggle up"
"กระโซกระเซ","stagger"
"กระดก","tilt"
"กระดก","flap"
"กระด้วมกระเดี้ยม","be slowly"
"กระดอน","bounce"
"กระดาก","be embarrassed"
"กระดากอาย","be embarrassed"
"กระดิบ","wriggle"
"กระเด้ง","bounce"
"กระเด็น","bounce off"
"กระเดาะ","click"
"กระเดิด","tip"
"กระเดียด","carry on one's hip"
"กระเดียด","incline"
"กระโดกกระเดก","waver"
"กระโดกกระเดก","be stiff in manner"
"กระโดดร่ม","parachute"
"กระโดดโลดเต้น","dance and jump with joy"
"กระตือรือร้น","be enthusiastic"
"กระเตง","carry"
"กระเตื้อง","improve"
"กระโตน","jump"
"กระเถิบ","move slightly"
"กระทบ","hit"
"กระทบ","affect"
"กระทบกระทั่ง","conflict"
"กระทบกระแทก","be sarcastic"
"กระทำ","perform"
"กระทำความผิด","violate"
"กระทำผิดกฎหมาย","break a law"
"กระทืบ","trample"
"กระทืบเท้า","trample"
"กระทุ้งเส้า","beat the cadence for the oarsmen in a boat race"
"กระทุ่ม","splash"
"กระทุ่มน้ำ","splash the water"
"กระแทก","hit"
"กระแทกเสียง","speak sharply"
"กระแนะกระแหน","satirize"
"กระบวร","decorate"
"กระบิด","twist"
"กระพือ","flap"
"กระพือปีก","flap"
"กระพุ่มมือ","put the hands together"
"กระมอมกระแมม","dirty"
"กระเย้อกระแหย่ง","tiptoe"
"กระวนกระวาย","fidget"
"กระวีกระวาด","hurry"
"กระโวยกระวาย","shout"
"กระสัน","yearn"
"กระสัน","bind"
"กระสัน","lust"
"กระสับกระส่าย","fidget"
"กระสุงกระสิง","associate with"
"กระเส่า","shiver"
"กระเสือกกระสน","strive"
"กระหนาบ","rebuke"
"กระหนาบคาบเกี่ยว","overlap"
"กระหน่ำ","pound (repeatedly)"
"กระหมวด","knot"
"กระหมิบ","constrict"
"กระหมุบกระหมิบ","mutter"
"กระหวัด","recall"
"กระหวัด","cuddle"
"กระหาย","thirst for"
"กระหาย","desire"
"กระเหนียด","feel a sharp pain"
"กระเหม็ดกระเหมียด","economize"
"กระเหม่น","twitch"
"กระแหนะกระแหน","satirize"
"กระแหม่ว","contract"
"กระแหม่วท้อง","contract the belly"
"กระโหย่ง","walk on the toes"
"กระอวล","send forth"
"กระอัก","cough up"
"กระแอม","utter aham"
"กระไอกระแอม","cough"
"กรัง","dry"
"กรับ","dry"
"กราง","rasp"
"กร่าง","swagger"
"กราดเกรี้ยว","furious"
"กราน","assert"
"กรานกฐิน","Kathina Khandhaka"
"กราบ","prostrate oneself"
"กราบเท้า","Dear Sir"
"กราบเท้า","prostrate oneself at one's feet"
"กราบบังคมทูลพระกรุณา","inform (The king, a Royal Highness)"
"กราบพระ","prostrate oneself to worship Buddha"
"กราบเรียน","respectedly inform (a superior)"
"กราบเรียน","inform (respectfully inform)"
"กราบลา","take leave (of one's host)"
"กรำ","tolerate"
"กร่ำ","cut with a large field knife"
"กรำแดด","be exposed to the sun"
"กริ๊ง","jingle"
"กริ่ง","be doubtful"
"กริ่งเกรง","fear"
"กริ่งใจ","suspect"
"กริ้ว","angry"
"กริว","uproariously"
"กรี๊ด","scream"
"กรีด","slit"
"กรีด","whet"
"กรีด","scratch"
"กรีด","scrape"
"กรีด","scream"
"กรีดกราด","shriek"
"กรีดเลือด","draw blood"
"กรีธา","march"
"กรีธาทัพ","march"
"กรีธาพล","march"
"กรุ","cover inside"
"กรุก","engrossed with"
"กรุณา","kind"
"กรุน","cut"
"กรุย","pave"
"กรุยทาง","pave"
"กรู","throng"
"กรูม","cover"
"กลบ","drown out"
"กลบ","conceal"
"กลบเกลี่ย","cover with earth and then smooth over the surface"
"กลบเกลื่อน","conceal"
"กลมเกลียว","get along well"
"ก้าวก่าย","interfere"
"ก้าวเฉียง","sail sawtoothly"
"ก้าวเฉียง","speak evasively"
"ก้าวร้าว","be aggressive"
"ก้าวล่วง","progress"
"ก้าวล่วง","violate"
"ก้าวหน้า","progress"
"กาไหล่","plate"
"ก่ำ","ruddy"
"กำ","grasp"
"กำกวม","be ambiguous"
"กำกัด","restrict"
"กำกับ","control"
"กำกับ","attach"
"ก้ำกึ่ง","be well-matched"
"กำเกียง","be immiscible"
"กำจร","spread"
"กำจัด","eradicate"
"กำจาย","spread"
"กำชับ","reiterate"
"กำชับกำชา","reiterate"
"กำซาบ","permeate"
"กำทวน","clamor"
"กำนัล","present"
"กำบัง","cover"
"กำบัด","brush away"
"กำพร้า","orphan"
"กำยำ","be sturdy"
"กำราบ","suppress"
"กำเริบ","increase"
"กำเริบ","mutiny"
"กำเริบเสิบสาน","mutiny"
"กำสรวล","cry"
"กำเสาะ","search for"
"กำหนด","specify"
"กำหนด","decide"
"กำหนดกฎเกณฑ์","specify"
"กำหนดใจ","intend"
"กำหนัด","lust"
"กำหมัด","clench one's hand"
"กำแหง","dare"
"กิน","take off"
"กิน","use"
"กิน","corrupt"
"กิน","eat"
"กินกริบ","corrupt"
"กินกัน","harmonize"
"กินกำไร","seek additional profits"
"กินกำลัง","require labor"
"กินขวา","exceed in the right side"
"กินขาด","be superior"
"กินความ","include"
"กินเจ","practice vegetarianism"
"กินแจ","practice vegetarianism"
"กินใจ","impress"
"กินใจ","distrust"
"กินช้อน","take meal with a spoon"
"กินซ้าย","exceed in the left side"
"กินดอก","practice usury"
"กินดอกเบี้ย","practice usury"
"กินดอง","wedding"
"กินดอง","feast at a marriage"
"กินดาย","take off the opponent's all chesses"
"กินดิบ","win easily"
"กินตะเกียบ","take meal with chopsticks"
"กินตา","deceive the eyes"
"กินตำแหน่ง","hold the position"
"กินโต๊ะ","besiege"
"กินโต๊ะ","banquet"
"กินแถว","take off opponent's whole row of chesses"
"กินทาง","transgress the white line (in driving )"
"กินที่","take up room"
"กินนอกกินใน","embezzle"
"กินนอน","do nothing without eat and sleep"
"กินน้ำลึก","have a draught"
"กินเนื้อที่","take up room"
"กินใน","doubt"
"กินบวช","be in initiated into monkhood"
"กินบวช","eat vegetarian meal"
"กินเปล่า","get something for nothing"
"กินผัว","bring death to the husband"
"กินมือ","eat with fingers"
"กินเมีย","bring death to the wife"
"กินเมือง","govern a town"
"กินไม่ลง","difficult to win"
"กินไม่ลง","be unable to eat"
"กินรูป","look smaller than reality"
"กินแรง","be a parasite"
"กินแรง","require labor"
"กินลม","take the air"
"กินลม","catch the wind"
"กินล้างกินผลาญ","eat extravagantly"
"กินลึก","affect deeply"
"กินลึก","have a deep draft"
"กินเลี้ยง","feast"
"กินเวลา","take time"
"กินเศษกินเลย","embezzle"
"กินเศษกินเลย","molest"
"กินส้อม","eat with fork"
"กินสั่ง","be overeaten"
"กินสำรับ","eat food in a set"
"กินสี่ถ้วย","feast in a party"
"กินเส้น","like"
"กินแหนง","doubt"
"กินอยู่พูวาย","live in clover"
"คนธรรพวิวาห์","become husband and wife without marriage"
"ค้นพบ","discover"
"ค้นหา","search for"
"คบ","associate with"
"คบค้า","associate with"
"คบค้าสมาคม","associate with"
"คบคิด","conspire"
"คบหา","associate with"
"คบหาสมาคม","associate with"
"คม","be sharp"
"คม","be sharp"
"คม","be attractive"
"คมกริบ","be sharp"
"คมคาย","be sharp"
"คมชัด","be clear"
"ครบกำหนด","expire"
"ครบเกณฑ์","reach the age of limit"
"ครบเกษียณ","retire"
"ครวญ","groan"
"ครวญ","sing for"
"ครวญคราง","groan"
"ครหา","blame"
"ครอง","put on"
"ครอง","occupy"
"ครอง","rule"
"ครองจีวร","dress in yellow rope"
"ครองใจ","carry one's favour"
"ครองชีพ","live"
"ครองตัว","take care of oneself"
"ครองราชย์","reign"
"ครองราชสมบัติ","reign"
"ครองเรือน","be a householder"
"ครอบ","cover"
"ครอบครอง","possess"
"ครอบคลุม","cover"
"ครอบงำ","dominate"
"คร่อม","bestride"
"คร่อม","put across"
"ครัดเคร่ง","be strict"
"ครั่นคร้าม","fear"
"ครั่นตัว","feel feverish"
"ครั่นเนื้อครั่นตัว","feel feverish"
"คร่า","bereave"
"คราก","become strained"
"คราง","groan"
"คราด","harrow"
"คร้าน","be lazy"
"คร้าม","be afraid"
"คร่ำครวญ","lament"
"คร่ำครึ","be out-of-date"
"คร่ำเคร่ง","be engrossed in"
"คร่ำเคร่ง","be strict"
"คร่ำเงิน","inlay with silver"
"คร่ำทอง","inlay with gold"
"คร่ำหวอด","be experienced"
"ครึกครื้น","be joyful"
"ครึ้ม","be complacent"
"ครึ้ม","be cloudy"
"ครึ้ม","be shady"
"ครึ้มอกครึ้มใจ","be complacent"
"ครื้นครึก","be merry"
"ครื้นเครง","be jolly"
"ครุ่นคิด","ponder"
"ครูด","scrape"
"คลอ","well up"
"คลอ","accompany to"
"คลอก","burn"
"กลายเป็น","become"
"กล่าว","deliver a speech"
"กล่าว","say"
"กล่าวขวัญ","mention"
"กล่าวถึง","mention"
"กล่าวเท็จ","lie"
"กล่าวโทษ","accuse"
"กล้าหาญ","be brave"
"กล้ำ","combine"
"กล้ำกราย","invade"
"กล้ำกราย","intrude"
"กล้ำกลืน","tolerate"
"กลิ้ง","roll"
"กลิ้งเกลือก","roll"
"กลิ้งเกลือก","wallow"
"กลิ้ม","lock stitch"
"กลึง","lathe"
"กลืนน้ำลาย","be mouth-watering"
"กลืนน้ำลาย","swallow"
"กลืนน้ำลาย","be hungry"
"กลืนไม่เข้าคายไม่ออก","be in an awkward predicament"
"กลุ้มรุม","besiege"
"กวด","tighten"
"กวด","chase"
"กวดวิชา","tutor"
"กวน","disturb"
"กวน","stir"
"กวนใจ","disturb"
"กวนประสาท","annoy"
"กวะกวัก","beckon"
"กวะแกว่ง","sway"
"กวักมือ","beckon"
"กวัดแกว่ง","wave"
"กวัดไกว","sway"
"กวัดไกวไสส่ง","chase"
"กว้างขวาง","be well-known"
"กวาด","sweep"
"กวาดต้อน","herd"
"กวาดตา","sweep one's eyes over"
"กวาดล้าง","wipe out"
"กวาดสายตา","look around"
"กว้าน","wind"
"กว้าน","haul up"
"กว้าน","haul"
"กว้านซื้อ","corner"
"ก่อ","light (a fire)"
"ก่อ","lay (brick)"
"ก่อ","cause"
"ก่อกรรม","commit a sin"
"ก่อกรรมทำเข็ญ","commit a sin"
"ก่อกวน","agitate"
"ก่อการ","start"
"ก่อกำเนิด","initiate"
"กอง","pile"
"ก้อง","echo"
"ก้องกังวาน","echo"
"กอด","embrace"
"กอดแข้งกอดขา","fawn on"
"กอดมือกอดตีน","fawn on"
"กอดรัด","embrace"
"กอดอก","cross one's arm"
"ก่อตั้ง","set up"
"กอบ","scoop up"
"กอบกู้","save"
"กอบโกย","grab"
"ก๊อบปี้","copy"
"กอปร","have"
"ก่อไฟ","light"
"ก้อร่อ","pose"
"ก้อร่อก้อติก","pose"
"ก่อร่างสร้างตัว","build up a fortune"
"ก่อเรื่อง","make trouble"
"ก่อฤกษ์","lay the corner stone"
"ก่อวินาศกรรม","sabotage"
"ก่ออิฐ","brick"
"กะ","estimate"
"กะเกณฑ์","exact"
"กะซวก","abruptly stab"
"กะดี่","lift up"
"กะเตงๆ","swayingly hug"
"กะเทาะ","crack"
"กะเทาะ","shell"
"กะปริบ","wink"
"กะปลกกะเปลี้ย","be tired"
"กะป้ำกะเป๋อ","be clumsy and stupid"
"กะผลุบกะโผล่","come and go"
"กะพริบ","blink"
"กะพริบ","wink"
"กะพริบตา","blink"
"กะล่อมกะแล่ม","speak evasively"
"กะล่อมกะแล่ม","chew imperfectly"
"กะลิ้มกะเหลี่ย","flirt"
"กะไหล่","plate with gold"
"กะๆ","estimate roughly"
"กักกัน","detain"
"กักด่าน","be put under quarantine"
"กักตัว","detain"
"กักตุน","hoard"
"กังก้า","show to fight it out"
"กังขา","doubt"
"กังวล","worry"
"กังวลใจ","worry"
"กัด","corrode"
"กัด","bite"
"กัด","quarrel"
"กัดกร่อน","erode"
"กัดเซาะ","scour"
"กัดฟัน","gnash (the teeth)"
"กัดฟัน","endure"
"กัน","separate"
"กัน","shave"
"กั้น","separate"
"กั้นกาง","separate"
"กันต์","shave"
"กันท่า","interpose"
"กันที่","reserve"
"กันน้ำ","be waterproof"
"กันผม","trim"
"กั้นรั้ว","fence"
"กัมมันตรังสี","radioactive"
"กัลปนา","devote"
"กา","mark"
"กาง","put up"
"กางแขน","stretch the arms"
"กางปีก","spread the wings"
"กางมุ้ง","hang up a mosquito net"
"กาน","prune"
"ก่าย","rest on"
"ก่ายขา","lie the legs"
"การควบแน่น","condensation"
"กำเนิด","be born"
"กำเนิด","originate"
"กู้เงิน","borrow money"
"เกาะเกี่ยว","accompany"
"เกาะเกี่ยว","cling"
"เกินพิกัด","overload"
"แก้","repair"
"แก้","solve"
"แก้เกี้ยว","avoid embarrassment"
"แก้ขัด","use as a makeshift"
"แก้ไข","solve"
"แก้ไข","repair"
"แก้ไข","amend"
"แก้แค้น"," revenge"
"แกง","make a curry"
"แก่งแย่ง","compete for"
"แก่งแย่งชิงดี","compete (for a better position)"
"แก้ที","correct the chesspath"
"แก้โทษ","plead guilty and apologize"
"แก้บน","fulfill one's vow"
"แก้ปัญหา","solve a problem"
"แก้เผ็ด","revenge"
"แก่ไฟ","be overdone"
"แก้มตอบ","sunken cheeks"
"แก้มือ","ask for a return match"
"แกร่งกล้า","proficient"
"แกล้ง","pretend"
"แกล้ง","tease"
"แกล้งเกลา","elaborate"
"แก้หน้า","save one's face"
"แกะ","remove"
"แกะ","engrave"
"แกะรอย","trail"
"แกะสลัก","carve"
"โก่","call"
"โกกเกก","misbehave"
"โก่ง","raise the price"
"โก่ง","draw"
"โก้งโค้ง","stoop"
"โกงเงิน","swindle"
"โก่งราคา","raise the price"
"โกน","shave (off)"
"โก่น","fell"
"โกย","run quickly"
"โกย","shovel"
"โกรก","blow gently"
"โกรก","saw"
"โกรก","leach"
"โกรกหวัด","pour water which boiled with tamarind leaves and onion"
"โกรธขึ้ง","be angry"
"โกรธเคือง","be angry"
"โกรธแค้น","be angry"
"โกลน","hew roughly into shape"
"ใกล้เคียง","be similar to"
"ไกล่เกลี่ย","reconcile"
"ไกว","rock"
"ขจร","spread"
"ขจัด","expel"
"ขจัดขจาย","scatter"
"ขจิต","decorate"
"ขจี","be verdant"
"ขจุย","be scattered"
"ขด","coil"
"ข้น","thicken"
"ขน","transport"
"ขนของ","move things"
"ขนพอง","bristle in anger"
"ขนลุกซู่","have hair standing on end"
"ขนส่ง","transport"
"ขนหยอง","quail"
"ขนอบ","be still"
"ขนัน","bar"
"ขนาง","be abashed"
"ขนาน","be parallel"
"ขนานนาม","call"
"ขนาบ","brace"
"ขนาบ","castigate"
"ขบ","crush"
"ขบ","feel stiff and sore"
"ขบ","think over"
"ขบขัน","be amused at"
"ขบเขี้ยวเคี้ยวฟัน","gnash one's teeth with anger"
"ขบฉัน","chew"
"ขบถ","rebel"
"ขบปัญหา","solve a problem"
"ขบไม่แตก","be unable to solve a problem"
"ข่ม","suppress"
